County,Agency,Sworn,Reserve,Dispatcher,Total,Year,Snapshot,SourceFile,Full-Time Sworn
GLENN COUNTY,WILLOWS PD,7.0,0,0,7,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,ARCATA PD,24.0,4,5,33,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,CSU HUMBOLDT DPS,12.0,0,9,21,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,EUREKA PD,49.0,8,11,68,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,FERNDALE PD,6.0,1,0,7,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,FORTUNA PD,15.0,2,7,24,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,HUMBOLDT COUNTY CORONER,4.0,0,0,4,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,HUMBOLDT COUNTY DA,9.0,1,0,10,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,HUMBOLDT COUNTY SD,171.0,25,13,209,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,HUMBOLDT DEPT WELFARE/INVEST,8.0,0,0,8,2013,Jan,01-2013_clean.csv,
HUMBOLDT COUNTY,RIO DELL PD,5.0,2,0,7,2013,Jan,01-2013_clean.csv,
IMPERIAL COUNTY,BRAWLEY PD,32.0,0,9,41,2013,Jan,01-2013_clean.csv,
IMPERIAL COUNTY,CALEXICO PD,38.0,5,7,50,2013,Jan,01-2013_clean.csv,
IMPERIAL COUNTY,CALIPATRIA PD,7.0,6,0,13,2013,Jan,01-2013_clean.csv,
IMPERIAL COUNTY,EL CENTRO PD,49.0,6,9,64,2013,Jan,01-2013_clean.csv,
IMPERIAL COUNTY,IMPERIAL COUNTY DA,12.0,0,0,12,2013,Jan,01-2013_clean.csv,
IMPERIAL COUNTY,IMPERIAL COUNTY SD,95.0,20,12,127,2013,Jan,01-2013_clean.csv,
IMPERIAL COUNTY,IMPERIAL PD,14.0,7,0,21,2013,Jan,01-2013_clean.csv,
IMPERIAL COUNTY,WESTMORLAND PD,5.0,5,0,10,2013,Jan,01-2013_clean.csv,
INYO COUNTY,BISHOP PD,12.0,5,6,23,2013,Jan,01-2013_clean.csv,
INYO COUNTY,INYO COUNTY DA,3.0,0,0,3,2013,Jan,01-2013_clean.csv,
INYO COUNTY,INYO COUNTY SD,38.0,12,6,56,2013,Jan,01-2013_clean.csv,
KERN COUNTY,ARVIN PD,17.0,4,5,26,2013,Jan,01-2013_clean.csv,
KERN COUNTY,BAKERSFIELD PD,343.0,20,35,398,2013,Jan,01-2013_clean.csv,
KERN COUNTY,BEAR VALLEY PD,7.0,4,9,20,2013,Jan,01-2013_clean.csv,
KERN COUNTY,CALIFORNIA CITY PD,13.0,7,5,25,2013,Jan,01-2013_clean.csv,
KERN COUNTY,CSU BAKERSFIELD DPS,11.0,0,4,15,2013,Jan,01-2013_clean.csv,
KERN COUNTY,DELANO PD,43.0,4,6,53,2013,Jan,01-2013_clean.csv,
KERN COUNTY,KERN COUNTY DA,22.0,0,0,22,2013,Jan,01-2013_clean.csv,
KERN COUNTY,KERN COUNTY-DEPT OF PARKS & REC,10.0,1,0,11,2013,Jan,01-2013_clean.csv,
KERN COUNTY,KERN COUNTY SD,919.0,87,41,1047,2013,Jan,01-2013_clean.csv,
KERN COUNTY,KERN HIGH SCHOOL DISTRICT PD,22.0,1,0,23,2013,Jan,01-2013_clean.csv,
KERN COUNTY,MCFARLAND PD,13.0,8,7,28,2013,Jan,01-2013_clean.csv,
KERN COUNTY,RIDGECREST PD,33.0,9,5,47,2013,Jan,01-2013_clean.csv,
KERN COUNTY,SHAFTER PD,22.0,3,6,31,2013,Jan,01-2013_clean.csv,
KERN COUNTY,STALLION SPRINGS PD,3.0,0,0,3,2013,Jan,01-2013_clean.csv,
KERN COUNTY,TAFT PD,17.0,5,5,27,2013,Jan,01-2013_clean.csv,
KERN COUNTY,TEHACHAPI PD,14.0,5,0,19,2013,Jan,01-2013_clean.csv,
KINGS COUNTY,AVENAL PD,15.0,1,0,16,2013,Jan,01-2013_clean.csv,
KINGS COUNTY,CORCORAN PD,18.0,2,5,25,2013,Jan,01-2013_clean.csv,
KINGS COUNTY,HANFORD PD,51.0,7,16,74,2013,Jan,01-2013_clean.csv,
KINGS COUNTY,KINGS COUNTY DA,12.0,1,0,13,2013,Jan,01-2013_clean.csv,
KINGS COUNTY,KINGS COUNTY SD,75.0,6,17,98,2013,Jan,01-2013_clean.csv,
KINGS COUNTY,"KINGS COUNTY-HUMAN SVCS,WELFARE FD",6.0,0,0,6,2013,Jan,01-2013_clean.csv,
KINGS COUNTY,LEMOORE PD,28.0,3,0,31,2013,Jan,01-2013_clean.csv,
LAKE COUNTY,CLEARLAKE PD,21.0,1,5,27,2013,Jan,01-2013_clean.csv,
LAKE COUNTY,LAKE COUNTY DA,6.0,0,0,6,2013,Jan,01-2013_clean.csv,
LAKE COUNTY,LAKE COUNTY SD,53.0,1,11,65,2013,Jan,01-2013_clean.csv,
LAKE COUNTY,LAKEPORT PD,9.0,2,0,11,2013,Jan,01-2013_clean.csv,
LASSEN COUNTY,LASSEN COUNTY DA,1.0,0,0,1,2013,Jan,01-2013_clean.csv,
LASSEN COUNTY,LASSEN COUNTY SD,28.0,19,7,54,2013,Jan,01-2013_clean.csv,
LASSEN COUNTY,SUSANVILLE PD,15.0,2,0,17,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,ALHAMBRA PD,80.0,8,14,102,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,ARCADIA PD,65.0,12,11,88,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,AZUSA PD,60.0,4,11,75,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,BALDWIN PARK PD,67.0,3,10,80,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,BELL GARDENS PD,49.0,0,6,55,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,BELL PD,30.0,8,6,44,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,BEVERLY HILLS PD,112.0,18,17,147,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,BURBANK AIRPORT AUTH PD,29.0,0,0,29,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,BURBANK PD,149.0,12,14,175,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,BURLINGTON NORTHRN SANTA FE RR,28.0,0,0,28,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CA DEPT CORPORATIONS,3.0,0,0,3,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CA DEPT INDUSTRIAL RELATIONS,6.0,0,0,6,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CERRITOS CCD PD,10.0,0,0,10,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CLAREMONT PD,37.0,3,7,47,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,COMPTON UNIF SCH DIST PD,28.0,0,0,28,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,COVINA PD,55.0,0,12,67,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CSU DOMINGUEZ HILLS DPS,17.0,0,6,23,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CSU LONG BEACH PD,25.0,0,8,33,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CSU LOS ANGELES DPS,17.0,0,8,25,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CSU NORTHRIDGE DPS,23.0,0,4,27,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CSU POMONA DPS,18.0,0,5,23,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,CULVER CITY PD,101.0,20,9,130,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,DOWNEY PD,105.0,1,15,121,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,EL CAMINO CCD PD,24.0,0,4,28,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,EL MONTE PD,117.0,59,16,192,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,EL SEGUNDO PD,60.0,0,0,60,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,GARDENA PD,92.0,9,0,101,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,GLENDALE CCD PD,9.0,0,0,9,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,GLENDALE PD,241.0,14,27,282,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,GLENDORA PD,50.0,6,14,70,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,HACIENDA LA PUENTE USD,6.0,0,0,6,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,HAWTHORNE PD,93.0,6,0,99,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,HERMOSA BEACH PD,34.0,2,0,36,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,HUNTINGTON PARK PD,65.0,8,9,82,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,INGLEWOOD PD,174.0,0,21,195,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,INGLEWOOD UNIF SCH DIST PD,5.0,4,0,9,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,IRWINDALE PD,26.0,3,7,36,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LA VERNE PD,40.0,16,9,65,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LONG BEACH PD,795.0,46,57,898,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LOS ANGELES CITY DPT GEN SVCS,92.0,0,9,101,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LOS ANGELES CITY HOUSING AUTH,1.0,0,0,1,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LOS ANGELES CITY PARK RANGER,12.0,0,0,12,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LOS ANGELES COUNTY CORONER,46.0,0,0,46,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LOS ANGELES COUNTY DA,265.0,0,1,266,2013,Jan,01-2013_clean.csv,
LOS ANGELES COUNTY,LOS ANGELES COUNTY SD,9278.0,905,545,10728,2013,Jan,01-2013_clean.csv,
